"","key","Genus","human-C","human-RS","mouse-C","mouse-RS"
"1","0f57ea7da60037232eadd51a4fc0cbf4","Akkermansia",FALSE,FALSE,TRUE,TRUE
"2","bf41c50b5e2bcae3a0d0ffcc45d4902d","Bilophila",FALSE,FALSE,TRUE,FALSE
"3","d976bbe6c2b1e7ac5e0603396cf59075","Lactobacillus",FALSE,FALSE,FALSE,TRUE
"4","9480753dc86a1a1f99d32d989d688055","Lactococcus",FALSE,FALSE,TRUE,TRUE
"5","d673ca77e26491596a44e0a5ba09ff2a","Streptococcus",FALSE,FALSE,TRUE,TRUE
"6","72dc1adab07467a53976a4f507a53978","Enterococcus",FALSE,FALSE,TRUE,TRUE
"7","d357ec443935153a5bb8d9cd3077a368","Erysipelatoclostridium",FALSE,FALSE,FALSE,TRUE
"8","40df41f013abab8d31cec795ff34044e","Bifidobacterium",TRUE,TRUE,FALSE,FALSE
"9","a520b18452fb07b5e3b9d6e928c4b978","Alistipes",TRUE,TRUE,TRUE,TRUE
"10","701a7481f1fcb5bf87ae80275f50ca98","Parabacteroides",TRUE,TRUE,TRUE,TRUE
"11","70caddc3430145a6f91caf799168d6bd","Bacteroides",TRUE,TRUE,TRUE,TRUE
"12","0783d66f8fe6155e7058732df98d2008","Ruminococcus",FALSE,TRUE,FALSE,FALSE
"13","b0fbd9086d8c1c1b21b78d41303da44f","Faecalibacterium",TRUE,TRUE,FALSE,FALSE
"14","53abfadaed5b45b5cc2f29b2207e4ac7","Subdoligranulum",TRUE,TRUE,FALSE,FALSE
"15","788731bdc4fca02c701d7bc242c6cefe","[Eubacterium]_coprostanoligenes_group",TRUE,TRUE,FALSE,FALSE
"16","003f0ca2ab9f7d95543523ac4a259cda","Colidextribacter",FALSE,FALSE,FALSE,TRUE
"17","7eccce4ad608f154e5d5a9a930de899c","Monoglobus",TRUE,TRUE,FALSE,FALSE
"18","3138768d68ced97161ebd9b60b50abae","Dorea",TRUE,TRUE,FALSE,FALSE
"19","139fadefc7b6425b5972de66abdf3917","Lachnoclostridium",FALSE,FALSE,TRUE,TRUE
"20","2bd24a84d97ffe237d5a074f8e0dde01","Blautia",TRUE,TRUE,TRUE,FALSE
"21","867686eaf25a8d1745e258548dc9b760","Fusicatenibacter",TRUE,TRUE,FALSE,FALSE
"22","0c6dec3c7f3597678b9fabb414bb7b1f","Anaerostipes",TRUE,TRUE,FALSE,FALSE
"23","4fe89b9192ec5dc1927d62c9c8b4f867","Agathobacter",TRUE,TRUE,FALSE,FALSE
